Company Name	Position Title	Position Type	Location	Company Stage	Monthly Salary	Monthly Stock/ Stipend	Annualized Base Salary	Stock/ Stipend per Year	Signing Bonus	Additional Benefits	Did You Negotiate the Offer?	Did You Accept the Offer?	Time Frame From First Interview Invitation to Offer in Weeks	Sex	Degree Level	Last Year of College	Last School Attended	Major	Additional Information	Intern Conversion	Base Salary	Base Salary Rate	Housing Stipend	Stock Bonuses/Benefits	Stock in currency or number of units	Stock Vesting Schedule Details	Annualized Recurring Renumeration (inc. stock and stipend)	Recurring Renumeration per Month (inc. stock and stipend)	Total First Year Annualized Renumeration(including Signon & Relocation)	Timestamp
Accenture	Technology Consulting Analyst	Full Time	California	Public	6666.666667	0	80000	0	10000		No	Yes	2	Male	Bachelors	Senior	Southern California	Computer Science		Yes	80000	Per year		0	No Stock Offered		"$80,000 "	"$6,667 "	"$90,000 "	12/2/2016 16:11
Tinder	Product Manger Intern	Intern	Los Angeles	Public	6066.666667	0	72800	0			No	Yes	2	Male	Bachelors	Senior		Computer Science			35	Per hour		0	No Stock Offered		"$72,800 "	"$6,067 "	"$72,800 "	12/2/2016 16:12
StreamingService	Software Engineer	Full Time	NYC	Private	10833.33333	0	130000	0	40000					Male	Masters					Yes	130000	Per year		0	No Stock Offered		"$130,000 "	"$10,833 "	"$170,000 "	12/2/2016 16:49
Yelp	Software Engineer	Intern	"San Francisco, CA"	Public	5893.333333	1000	70720	12000			No	Yes		Male	Bachelors	Freshman	Harvey Mudd College	Mathematics			34	Per hour	1000	0	No Stock Offered		"$82,720 "	"$6,893 "	"$82,720 "	12/2/2016 18:01
Vidyard		Full Time	"Waterloo, Ontario, Canada"	Series C	6000	0	72000	0			Yes	Yes		Male	Bachelors					No	72000	Per year		5000	Dollars CAD		"$72,000 "	"$6,000 "	"$72,000 "	12/2/2016 18:22
Workday	Product Manager	Full Time	"Pleasanton, CA"	Public	7083.333333	500	85000	6000	0		Prefer not to disclose	Yes	1	Male	Bachelors	Senior	UC San Diego	Computer Science		No	85000	Per year	0	24000	USD	4 years	"$91,000 "	"$7,583 "	"$91,000 "	12/2/2016 18:23
Microsoft	SDE	Full Time	"Redmond, WA"	Public	8916.666667	1250	107000	15000	20000	Usual microsoft stuff	No	Yes	8	Male	Bachelors	Senior	Cal Poly	Comp Sci		No	107000	Per year		60000	USD	3 years?	"$122,000 "	"$10,167 "	"$142,000 "	12/2/2016 18:51
State of California	GIS Analyst	Full Time	"Sacramento, CA"	Government	4829	0	57948	0	0	"Health benefits, CalPERS Pension, Gym"	No	Yes	2	Male	Bachelors	Graduate	Sacramento State University	International Business		No	57948	Per year	0	0	No Stock Offered	0	"$57,948 "	"$4,829 "	"$57,948 "	12/2/2016 19:10
Amazon	Software Development Engineer	Intern	Seattle	Public	8100	2500	97200	30000			No	Still considering		Male	Masters	Graduate	University of Minnesota	Computer Science		No	8100	Per month	2500	0	No Stock Offered		"$127,200 "	"$10,600 "	"$127,200 "	12/2/2016 19:19
Google	Software Engineering Intern	Intern	Mountain View	Public	6666	2250	79992	27000			No	Yes	3	Male	Bachelors	Sophomore	University of Waterloo	Systems Design Engineering		No	6666	Per month	2250	0	USD		"$106,992 "	"$8,916 "	"$106,992 "	12/2/2016 21:10
Amazon	Software Engineering Intern	Intern	Seattle	Private	7725	3500	92700	42000			No	Yes		Female	Bachelors	Junior	Liberal Arts College	Computer Science		No	7725	Per month	3500	0	USD		"$134,700 "	"$11,225 "	"$134,700 "	12/2/2016 21:52
Stripe	Software Engineering Intern	Intern	San Francisco	Private	8000	2000	96000	24000		"free breakfast, free lunch, free dinner, public transit budget, physical activies budget "	No	Yes	2	Male	Bachelors	Junior	University of Waterloo	Computer Science		No	8000	Per month	2000	0	USD		"$120,000 "	"$10,000 "	"$120,000 "	12/2/2016 23:28
Shopify	Developer Intern	Intern	Ottawa	Public	5200	0	62400	0	0		Yes	No	2	Male	Bachelors	Junior	University of Waterloo	Computer Science		No	5200	Per month	0	0	USD		"$62,400 "	"$5,200 "	"$62,400 "	12/2/2016 23:30
Yelp	Software Engineering Intern	Intern	San Francisco	Public	7200	1500	86400	18000	2000		Yes	No	2	Male	Bachelors	Junior	University of Waterloo	Computer Science		No	7200	Per month	1500	0	USD		"$104,400 "	"$8,700 "	"$106,400 "	12/2/2016 23:31
500px	Software Developer Intern	Intern	Toronto	Series B	6200	0	74400	0			No	No	1	Male	Bachelors	Junior	University of Waterloo	Computer Science		No	6200	Per month		0	USD		"$74,400 "	"$6,200 "	"$74,400 "	12/2/2016 23:32
Oracle	SW	Full Time	"Boston, Ma"	Public	9416.666667	500	113000	6000	15000		No	Still considering		Female	Bachelors	Senior	MIT	CS		No	113000	Per year		24000	USD		"$119,000 "	"$9,917 "	"$134,000 "	12/2/2016 23:45
4000	engineer	Full Time	"Oakland, CA"	Series B	9166.666667	0	110000	0	0	"pension, 457a, 401k"	Prefer not to disclose	Yes	10	Male	Bachelors	Graduate	2008	engineering		No	110000	Per year	0	0	USD		"$110,000 "	"$9,167 "	"$110,000 "	12/3/2016 0:49
Salesforce	Software Engineer	Intern	San Francisco 	Public	7848.533333	5750	94182.4	69000			Yes	Yes	3	Male	Bachelors	Junior	Purdue University	Computer Science		Yes	45.28	Per hour	5750	0	No Stock Offered		"$163,182 "	"$13,599 "	"$163,182 "	12/3/2016 1:02
Nielsen	Software Engineer	Intern	Miami	Public	3813.333333	0	45760	0			No	No	4	Male	Bachelors	Junior	Purdue University	Computer Science		No	22	Per hour		0	No Stock Offered		"$45,760 "	"$3,813 "	"$45,760 "	12/3/2016 1:04
Apptio	Product management intern	Intern	"Bellevue, wa"	Public	5200	0	62400	0			Yes	Yes		Male	Bachelors	Junior		BS in IT			30	Per hour		0	USD		"$62,400 "	"$5,200 "	"$62,400 "	12/3/2016 1:07
Citadel LLc		Full Time	Chicago	Public	12500	7583.333333	150000	91000	108000		No	Yes		Male	Masters	Senior				No	150000	Per year	5500	100000	USD	100k per year (semiannually means twice a year)	"$241,000 "	"$20,083 "	"$349,000 "	12/3/2016 1:22
Microsoft	Program Manager	Full Time	Seattle	Public	8916.666667	2500	107000	30000	30000	"Gym membership, 15k relocation bonus"	Yes	Yes	1	Female	Bachelors	Senior	University of Waterloo	Earth Science	Internship to FT conversion	Yes	107000	Per year		120000	USD	3 and a half years	"$137,000 "	"$11,417 "	"$167,000 "	12/3/2016 2:05
Salesforce	Intern	Intern	San Francisco	Public	8493.333333	2500	101920	30000		All the perks tech companies give	No	Yes	2	Male	Bachelors	Junior	UIUC	CS		No	49	Per hour	2500	0	No Stock Offered		"$131,920 "	"$10,993 "	"$131,920 "	12/3/2016 2:38
Twilio		Intern	New York	Public	8320	2500	99840	30000		"gym, travel, books"	No	Yes	8	Female	Bachelors	Junior	Libearl Arts	computer science		No	48	Per hour	2500	0	No Stock Offered		"$129,840 "	"$10,820 "	"$129,840 "	12/3/2016 3:00
Cloudera	Software Engineering Intern	Intern	Bay Area	Series D+	9533.333333	0	114400	0	3000		Prefer not to disclose	Yes	4	Prefer Not to Disclose	Bachelors	Junior				No	55	Per hour	0	0	No Stock Offered		"$114,400 "	"$9,533 "	"$117,400 "	12/3/2016 5:45
Amazon	Software Development Engineer I	Full Time	"Seattle, WA"	Public	8583.333333	1354.166667	103000	16250	52000	10k relocation	No	Yes		Male	Bachelors	Super Senior	"Unranked, non-target school in VA"	Computer Science	"Internship length: 12 weeks. Found on last day that I was receiving an offer. Signing bonus is 26k each year for two years. Stock vesting is 5%,15%,40%,40% over four years respectively. "	Yes	103000	Per year		65000	USD	4	"$119,250 "	"$9,938 "	"$171,250 "	12/3/2016 10:02
AT&T	Member of Technical Staff	Full Time	"Middletown, NJ"	Private	8750	0	105000	0	25000		Yes	Yes	3	Male	Masters	Graduate	University of Maryland College Park	Telecommunication Engineering		No	105000	Per year		0	No Stock Offered		"$105,000 "	"$8,750 "	"$130,000 "	12/3/2016 10:14
Wolfram Research	Principal Consultant	Full Time	"Phoenix, AZ"	Private	6333.333333	0	76000	0			Yes	Yes		Male	Bachelors	Junior				No	76000	Per year		0	No Stock Offered		"$76,000 "	"$6,333 "	"$76,000 "	12/3/2016 10:18
Cisco	Software Engineering	Full Time	"Raleigh, North Caarolina"	Public	7166.666667	0	86000	0	11000		Yes	Yes	2	Male	Masters	Graduate	Georgia Tech	Computer Engineering		No	86000	Per year		0	No Stock Offered		"$86,000 "	"$7,167 "	"$97,000 "	12/3/2016 10:28
Dealogic	Relationship Associate	Intern	New York. NY	Private	2600	0	31200	0			No	Yes	3	Male	Bachelors	Senior	Pace University	Finance			15	Per hour		0	No Stock Offered		"$31,200 "	"$2,600 "	"$31,200 "	12/3/2016 10:32
PricewaterhouseCoopers public accounting 	Tax Associate	Full Time	New York City 	Private	5000	0	60000	0	0		No	Yes		Male	Bachelors	Senior	Iona College 	Accounting & Finance 		Yes	60000	Per year	0	0	No Stock Offered		"$60,000 "	"$5,000 "	"$60,000 "	12/3/2016 10:37
Verizon	Data Analyst	Full Time	New Jersey	Public	5833.333333	0	70000	0			No	Yes	8	Male	Masters	Graduate	Rutgers	Statistics		No	70000	Per year		0	No Stock Offered		"$70,000 "	"$5,833 "	"$70,000 "	12/3/2016 11:15
Apple	Software engineer II	Full Time	Sunnyvale 	Public	10000	1875	120000	22500	10000		No	Yes	6	Male	Bachelors	Senior	University of Michigan 	CS		No	120000	Per year		90000	USD	"4 years, vest twice a year"	"$142,500 "	"$11,875 "	"$152,500 "	12/3/2016 12:08
Facebook	SWE Intern	Intern	MPK	Public	8000	1000	96000	12000			No	Yes		Male	Bachelors	Sophomore	Vanderbilt University	CS		No	8000	Per month	1000	0	No Stock Offered		"$108,000 "	"$9,000 "	"$108,000 "	12/3/2016 12:10
Zeiss	Software Engineering Intern	Intern	"Pleasanton, CA, USA"	Private	4300	0	51600	0			No	Yes		Male	Bachelors	Junior	Norther Arizona University	Computer Engineering			4300	Per month	0	0	No Stock Offered		"$51,600 "	"$4,300 "	"$51,600 "	12/3/2016 12:14
Zeiss	Software Engineer	Full Time	"Pleasanton, CA, US"	Private	6666.666667	0	80000	0	0	Annual bonus	No	Yes		Male	Bachelors	Senior	Northern Arizona University	Computer Engineering		Yes	80000	Per year	0	0	No Stock Offered		"$80,000 "	"$6,667 "	"$80,000 "	12/3/2016 12:16
3M	IT Analyst Intern	Intern	"Maplewood, MN"	Public	4160	0	49920	0			No	Yes		Male	Bachelors	Junior				No	24	Per hour		0	No Stock Offered		"$49,920 "	"$4,160 "	"$49,920 "	12/3/2016 12:24
Snapchat		Intern	"Venice, CA"	Series D+	9000	1500	108000	18000			No	Yes		Male	Bachelors						9000	Per month	1500	0	No Stock Offered		"$126,000 "	"$10,500 "	"$126,000 "	12/3/2016 12:34
Microsoft	Product Marketing Manager Intern	Intern	"Seattle, WA"	Public	6000	1300	72000	15600		"Gym membership, subsidized car, free drinks, airfare"	No	Yes	3	Male	Bachelors	Sophomore	Public Ivy	Business Administration 		No	6000	Per month	1300	0	USD		"$87,600 "	"$7,300 "	"$87,600 "	12/3/2016 12:36
Cisco Meraki	"Member of Technical Staff, Intern"	Intern	"San Francisco, CA "	Private	7973.333333	4000	95680	48000			No	Yes	5	Male	Bachelors	Junior	Private Northeast US University 	Computer Engineering 			46	Per hour	4000	0	No Stock Offered		"$143,680 "	"$11,973 "	"$143,680 "	12/3/2016 12:44
Ultimate Software	Software Developer	Intern	FL	Private	4160	0	49920	0			No	Yes	6	Female	Bachelors	Junior	University of Florida	Computer Science			24	Per hour		0	No Stock Offered		"$49,920 "	"$4,160 "	"$49,920 "	12/3/2016 13:02
Northrop Grumman	Software Engineer	Full Time	"Melbourne, FL"	Public	5250	0	63000	0	5000			Yes		Female	Bachelors	Senior	University of Florida	Computer Engineering		Yes	63000	Per year		0	Not sure		"$63,000 "	"$5,250 "	"$68,000 "	12/3/2016 13:05
General Electric	DTLP Intern	Intern	"San Ramon, CA"	Public	6326.666667	1000	75920	12000			No	Yes	3	Male	High School	Junior	University of Florida	Computer Engineering		No	1460	Per week	1000	0	No Stock Offered		"$87,920 "	"$7,327 "	"$87,920 "	12/3/2016 13:09
peloton technologies	vehicle software engineer	Full Time	"mountain view, California"	Series B	10000	0	120000	0	0		Yes	Yes	3	Female	Bachelors	Senior	Stanford	"computer science, Chinese"		No	120000	Per year	0	30000	Number of Units	"1/4 if stock options vested every 6 months, entirely vested in two years"	"$120,000 "	"$10,000 "	"$120,000 "	12/3/2016 13:30
Dropbox	Software Engineer	Full Time	San Francisco	Series D+	11666.66667	937.5	140000	11250	25000	8000$ end of year bonus	Prefer not to disclose	Yes	4	Male	prefer not to disclose	prefer not to disclose				Yes	140000	Per year	0	45000	USD	 4 years vesting schedule with 1 year cliff.  Your answer	"$151,250 "	"$12,604 "	"$176,250 "	12/3/2016 13:36
Microsoft	Consultant	Full Time	Dallas	Private	5875	72.91666667	70500	875	5000		No	Yes	4	Female	Bachelors	Senior	Mount Holyoke College	Computer Science & Economics		No	70500	Per year	0	3500	USD		"$71,375 "	"$5,948 "	"$76,375 "	12/3/2016 13:58
Bank of America	Technical Analyst	Full Time	"Charlotte, North Carolina"	Private	6500	0	78000	0	10000	Gym membership	No	No	1	Female	Bachelors	Senior		Econ & CS		Yes	78000	Per year		0	No Stock Offered		"$78,000 "	"$6,500 "	"$88,000 "	12/3/2016 14:00
Amazon	SDE	Full Time	Seattle	Public	8583.333333	1354.166667	103000	16250	52000		No	Yes		Prefer Not to Disclose	Bachelors	Senior				Yes	103000	Per year		65000	USD	"4 years, 5/15/40/40"	"$119,250 "	"$9,938 "	"$171,250 "	12/3/2016 14:01
Crowe Horwath	Software Engineer Intern	Intern	Midwest	Public	4506.666667	0	54080	0	1500		No	Yes		Male	Bachelors	Junior	Midwest State College	Computer Science Engineering		No	26	Per hour		0	USD		"$54,080 "	"$4,507 "	"$55,580 "	12/3/2016 14:27
Facebook	Data Scientist	Full Time	Menlo Park	Public	8333.333333	1250	100000	15000	20000		No	Yes	4	Female	Bachelors	Senior	Ivy League	Computer Science; Statistics		No	100000	Per year		60000	USD	4 year	"$115,000 "	"$9,583 "	"$135,000 "	12/3/2016 14:32
Adyen	Java Developer	Full Time	Amsterdam	Series C	4000	156.25	48000	1875		"free lunch, free health insurance, 25% pension contribution"	Yes	Yes	2	Male	Masters			Internet & web yechnology		No	48000	Per year		7500	USD		"$49,875 "	"$4,156 "	"$49,875 "	12/3/2016 15:09
Microsoft	Program Manager	Full Time	"Seattle, WA"	Public	8916.666667	2500	107000	30000	20000		Yes	Yes	40	Male	Bachelors	Super Senior	University of Illinois at Urbana-Champaign	Computer Science	"Specifically with the amount of time for recruitment -- I was a bit of a special case. I had interviewed the semester before, but they ran out of internship openings, so the following semester they expedited me straight to onsites. I don't want to inflate your data about the time period for recruitment process at Microsoft because I'm an odd bird. :)"	No	107000	Per year		120000	USD	Vests over 3.5 years	"$137,000 "	"$11,417 "	"$157,000 "	12/3/2016 15:28
Instituto Superior Técnico 	PhD student 	Full Time	"Lisbon, Portugal "	Private	989	0	11868	0	750		No	Yes		Male	Masters	Graduate	Instituto Superior Técnico 	Electronics  engineering 		No	989	Per month	0	0	No Stock Offered		"$11,868 "	$989 	"$12,618 "	12/3/2016 15:36
Apple	RF Systems Engineering Intern	Intern	"Cupertino, CA"	Public	7166.666667	1000	86000	12000			No	Yes		Male	Masters	Senior				No	86000	Per year	1000	0	No Stock Offered		"$98,000 "	"$8,167 "	"$98,000 "	12/3/2016 15:58
Stripe	Engineering Intern	Intern	"San Francisco, CA"	Series D+	8000	2000	96000	24000		"Corporate housing within walking distance of office xor $2K/month housing stipend. Wellness benefit for gym/art/etc. of $125/month. Full health/dental/vision insurance coverage. Free food for breakfast, lunch, dinner. Relocation reimbursements for roundtrip flights. Up to $300/month to cover transportation costs (if any, e.g., BART, parking permits, etc)"	No	Still considering	2	Male	Bachelors	Senior	UC system	Computer Science	3-month minimum length internship. Start/end dates flexible. Performance reviews for interns occur halfway through summer and at the end. Full-time conversion offers are made before the end of the internship.	No	8000	Per month	2000	0	No Stock Offered		"$120,000 "	"$10,000 "	"$120,000 "	12/3/2016 16:17
Airbnb	Android Software Engineer Intern	Intern	"San Francisco, CA"	Series D+	6933.333333	4000	83200	48000			No	Yes		Male	Bachelors	Sophomore	University of California	Computer Science			40	Per hour	4000	0	USD		"$131,200 "	"$10,933 "	"$131,200 "	12/3/2016 16:23
Deloitte	Business Technology Analyst	Full Time	"Boston, MA"	Private	6041.666667	0	72500	0	10000	"Health insurance with vision and dental, 35 days PTO, phone, laptop, healthy life stipend"	No	Yes	2	Male	Bachelors	Senior	East			No	72500	Per year	0	0	No Stock Offered		"$72,500 "	"$6,042 "	"$82,500 "	12/3/2016 16:38
Cloudera	Software Engineer Intern	Intern	"Palo Alto, CA"	Series D+	9533.333333	0	114400	0			No	Yes	1	Male	Masters	Graduate		Computer Science		No	55	Per hour		0	No Stock Offered		"$114,400 "	"$9,533 "	"$114,400 "	12/3/2016 16:42
Microsoft	SDE I	Full Time	Seattle	Public	8916.666667	3125	107000	37500	50000	"401k, health insurance, free gym/fitness $, orca (public transport card), Microsoft shuttle"	Yes	Yes	1	Female	Bachelors	Senior	Ivy League	Computer Science		Yes	107000	Per year		150000	USD	3.5 year vesting	"$144,500 "	"$12,042 "	"$194,500 "	12/3/2016 16:47
Quantcast	Software Engineer	Intern	San Francisco	Series C	7400	1000	88800	12000			No	Still considering	6	Male	Bachelors	Senior	UC Berkeley	Computer Science & Business			7400	Per month	1000	0	No Stock Offered		"$100,800 "	"$8,400 "	"$100,800 "	12/3/2016 16:51
AT&T	Software Developer 	Intern	"Mission, KS"	Public	4853.333333	0	58240	0			No	Yes		Male	Bachelors	Junior		Computer Science + Math			28	Per hour		0	USD		"$58,240 "	"$4,853 "	"$58,240 "	12/3/2016 16:58
Pinterest	Software Engineer (iOS)	Full Time	San Francisco	Series D+	10416.66667	12500	125000	150000	50000	"$5,000 to travel before starting, free meals"	Yes	Yes		Female	Bachelors	Senior	Stanford	Computer Science		Yes	125000	Per year	12500	40000	Number of Units	4 years vesting schedule with 1 year cliff	"$275,000 "	"$22,917 "	"$325,000 "	12/3/2016 17:00
Samsung Research America	Software Engineer	Full Time	"Mountain View, CA, US"	Public	10000	0	120000	0	20000	"On site gym, subsidized lunch"	Yes	Yes		Male	Masters	Graduate	Public University	CS		No	120000	Per year		0	No Stock Offered		"$120,000 "	"$10,000 "	"$140,000 "	12/3/2016 17:34
"Lytx, Inc."	Software Engineer Intern	Intern	"San Diego, CA, USA"	Private	3466.666667	0	41600	0			No	Yes	2	Male	Masters	Graduate		Computer Science		No	20	Per hour		0	USD		"$41,600 "	"$3,467 "	"$41,600 "	12/3/2016 17:51
GoDaddy	Software Engineer Level 2	Full Time	"San Diego, CA, USA"	Public	10000	1125	120000	13500			No	Yes	3	Male	Masters	Graduate	"University of California, San Diego (UCSD)"	Computer Science		No	120000	Per year		54000	USD		"$133,500 "	"$11,125 "	"$133,500 "	12/3/2016 17:53
Websites	Software engineer	Full Time	San Francisco	Series C	10000.75	0	120009	0	10000	"Meals, massage in office, full bar, snacks and drinks, gym in office, "	No	Yes	1	Male	Masters	Graduate	State school	Computer science		No	120009	Per year		36000	Number of Units	"4 years, 1 cliff"	"$120,009 "	"$10,001 "	"$130,009 "	12/3/2016 18:00
LinkedIn	Software Engineering Intern	Intern	"Sunnyvale, CA"	Public	7200	0	86400	0			No	Yes	8	Female	Bachelors	Junior	UMD				7200	Per month		0	No Stock Offered		"$86,400 "	"$7,200 "	"$86,400 "	12/3/2016 18:11
Groupon	Software Engineering Intern in Test	Intern	"Chicago, IL"	Public	6391.666667	3000	76700	36000	10000		No	No	3	Female	Bachelors	Senior	UMD				2950	Per bi-week (fortnight)	3000	0	No Stock Offered		"$112,700 "	"$9,392 "	"$122,700 "	12/3/2016 18:14
Microsoft	SDE	Full Time	Redmond	Public	8833.333333	1250	106000	15000	15000	Gym benefits	No	Still considering		Male	Bachelors	Graduate				Yes	106000	Per year		60000	USD	3.5 years	"$121,000 "	"$10,083 "	"$136,000 "	12/3/2016 18:29
Adobe	Product Manager	Full Time	Silicon Valley	Public	8750	0	105000	0	20000	360 yearly health stipend	Yes	Yes	6	Male	Bachelors	Senior	East coast public ivy	Economics		Yes	105000	Per year		450	Number of Units	4 years	"$105,000 "	"$8,750 "	"$125,000 "	12/3/2016 18:42
Virtualitics	Designer/Developer	Full Time	"Los Angeles, California"	Seed	5000	0.002083333	60000	0.025			No	Yes	6	Male	Bachelors	Graduate	Savannah College of Art and Design	Interactive Design/Game Development		No	60000	Per year		0.1	USD		"$60,000 "	"$5,000 "	"$60,000 "	12/3/2016 18:52
Series a ecommerce	Vp engineering 	Full Time	San Francisco 	Series A	8333.333333	500	100000	6000	5000		Yes	Yes	3	Prefer Not to Disclose	Bachelors	Senior	Univ of Michigan 	CS		No	100000	Per year	500	100000	Number of Units	4 years	"$106,000 "	"$8,833 "	"$111,000 "	12/3/2016 19:12
Facebook	Consultant 	Full Time	San Francisco 	Public	10833.33333	5937.5	130000	71250	275000		No	Yes	2	Male	Masters	Graduate	Harvard 	Marketing 		No	130000	Per year	5000	45000	USD		"$201,250 "	"$16,771 "	"$476,250 "	12/3/2016 19:13
General Motors	Software Developer	Full Time	"Austin, Texas"	Public	5500	0	66000	0	8000		No	Yes	3	Male	Bachelors	Senior	Indiana University	Computer Science		No	66000	Per year		0	No Stock Offered		"$66,000 "	"$5,500 "	"$74,000 "	12/3/2016 19:27
Palantir 	Forward deployed engineer 	Full Time	New York 	Private	7916.666667	0	95000	0	5000	Lots of stuff	Prefer not to disclose	Yes		Male	Bachelors	Senior		CS 		Yes	95000	Per year		60000	Number of Units	5 years with 1 year cliff	"$95,000 "	"$7,917 "	"$100,000 "	12/3/2016 19:40
Palantir 	Forward deployed engineer 	Full Time	New York 	Private	8750	0	105000	0	5000		No	Yes		Male	Bachelors	Senior		CS		Yes	105000	Per year		51000	Number of Units	5 years 1 year cliff 	"$105,000 "	"$8,750 "	"$110,000 "	12/3/2016 19:41
Palantir 	Forward deployed engineer 	Full Time	New York 	Private	9583.333333	0	115000	0	5000		No	Yes		Male	Bachelors	Senior		CS 		Yes	115000	Per year		42000	Number of Units	5 years with 1 year cliff 	"$115,000 "	"$9,583 "	"$120,000 "	12/3/2016 19:42
ConocoPhillips	Accounting/Finance Intern	Intern	"Houston, TX"	Public	4200	1200	50400	14400	1200	"Gym membership, free events/happy hours"	No	Yes	3	Male	Bachelors	Junior	University of Arkansas	Finance		No	4200	Per month	1200	0	USD		"$64,800 "	"$5,400 "	"$66,000 "	12/3/2016 19:51
Google	Global Customer Experience Intern	Intern	Michigan	Public	4506.666667	3	54080	36			No	Yes		Female	Bachelors	Junior	HBCU	Economics		No	26	Per hour	3	0	USD		"$54,116 "	"$4,510 "	"$54,116 "	12/3/2016 20:14
Capital One	Software Engineer Associate	Full Time	"McLean, VA"	Public	7833.333333	0	94000	0	10000	"Paid relocation, 18 weeks paid maternity leave"	No	Yes	0	Female	Bachelors	Super Senior	Big 10	Computer science	Technology development program	No	94000	Per year		0	No Stock Offered		"$94,000 "	"$7,833 "	"$104,000 "	12/3/2016 20:38
MasterCard	Software Developer Intern	Intern	"St Louis, MO"	Public	4160	0	49920	0	5000		No	No	2	Prefer Not to Disclose	High School	Sophomore	Ivy of Mid west				24	Per hour		0	No Stock Offered		"$49,920 "	"$4,160 "	"$54,920 "	12/3/2016 21:04
IBM	Software Engineer	Full Time	Ohio	Public	7916.666667	0	95000	0	10000		No	Yes	10	Male	Bachelors	Graduate	Midwest Liberal Arts	Computer Science		Yes	95000	Per year		0	USD		"$95,000 "	"$7,917 "	"$105,000 "	12/3/2016 21:10
Goldman Sachs	Software Engineer	Full Time	NYC	Private	9583.333333	1041.666667	115000	12500	0	"Unlimited Paid Vacation, Health, Dental, Vision, Free Travel + hospitality to UK"	No	Yes	3	Male	Bachelors	Super Senior	State Flagship 	CS		No	115000	Per year	0	50000	USD	4 years	"$127,500 "	"$10,625 "	"$127,500 "	12/3/2016 21:13
Citibank	Leadership Training Program Analyst	Full Time	"Jacksonville, FL"	Public	5833.333333	0	70000	0	10000			Yes	3	Male	Bachelors	Senior	University of Florida	Computer Science		No	70000	Per year		0	No Stock Offered		"$70,000 "	"$5,833 "	"$80,000 "	12/3/2016 22:33
Google	Software Engineer	Full Time	"Mountain View, CA"	Public	9333.333333	2229.166667	112000	26750	22500		No	Yes		Female	Bachelors	Senior	Ivy League	Computer Science		No	112000	Per year		107000	USD	4 years vesting schedule with 1 year cliff	"$138,750 "	"$11,563 "	"$161,250 "	12/3/2016 22:35
Bechtel Marine Propulsion	Engineer	Full Time	"Pittsburgh, PA"	Private	4833.333333	0	58000	0			Prefer not to disclose	Yes	8	Male	Bachelors	Super Senior	University of Pittsburgh	Industrial Engineering		No	58000	Per year		0	USD		"$58,000 "	"$4,833 "	"$58,000 "	12/3/2016 23:00
Two Sigma	Analyst	Intern	New York	Private	10416.66667	0	125000	0	5000		No	Yes		Male	Bachelors	Junior				No	125000	Per year		0	USD		"$125,000 "	"$10,417 "	"$130,000 "	12/3/2016 23:13
Palantir 	Forward deployed engineer 	Full Time	New York 	Private	9583.333333	0	115000	0	5000		No	Yes		Male	Bachelors	Senior		CS 		Yes	115000	Per year		42000	Number of Units	5 years with 1 year cliff 	"$115,000 "	"$9,583 "	"$120,000 "	12/3/2016 23:41
Series A	Software Developer	Full Time	"Sunnyvale, CA, USA"	Series A	7500	0	90000	0			No	Yes	2	Male	Bachelors	Super Senior	Georgia Institute of Technology 	Computer Science 		No	90000	Per year		27000	Number of Units	4 year vesting with 1 year cliff 	"$90,000 "	"$7,500 "	"$90,000 "	12/4/2016 0:18
Delphix	mts	Full Time	redwood city	Series C	10000	0	120000	0						Female	Bachelors					No	120000	Per year		19000	Number of Units	4	"$120,000 "	"$10,000 "	"$120,000 "	12/4/2016 0:39
Riverbed Technologies	Member Technichal Staff	Full Time	Sunnyvale CA	Private	10833.33333	0	130000	0			Yes	Yes	2	Male	Masters	Graduate	UFL			No	130000	Per year		7000	Number of Units	3	"$130,000 "	"$10,833 "	"$130,000 "	12/4/2016 0:46
National Institute of Standards and Technology		Intern	Washington DC	Public	3800	0	45600	0			No	Yes		Male	Bachelors						3800	Per month		0	No Stock Offered		"$45,600 "	"$3,800 "	"$45,600 "	12/4/2016 0:48
Expedia	SDE I	Full Time	"Seattle, WA (Bellevue)"	Public	7833.333333	0	94000	0	20000		No	Yes	2	Male	Bachelors	Senior	Washington State University	Computer Science		No	94000	Per year		0	No Stock Offered		"$94,000 "	"$7,833 "	"$114,000 "	12/4/2016 0:51
Palantir 	Forward deployed engineer 	Full Time	New York 	Private	9583.333333	0	115000	0	5000		No	Yes		Male	Bachelors	Senior		CS 		Yes	115000	Per year		42000	Number of Units	5 years with 1 year cliff 	"$115,000 "	"$9,583 "	"$120,000 "	12/4/2016 1:39
General Dynamics	Software Engineer Intern	Intern	Arizona	Public	4246.666667	0	50960	0	0		No	Yes	0	Male	Bachelors	Senior	Private Western University	Computer Science 	6 month internship. 	No	24.5	Per hour	0	0	No Stock Offered		"$50,960 "	"$4,247 "	"$50,960 "	12/4/2016 2:36
Audible	Software Engineer Intern	Intern	USA	Private	7300	0	87600	0			No	Still considering	3	Male	Masters	Graduate				No	7300	Per month		0	No Stock Offered		"$87,600 "	"$7,300 "	"$87,600 "	12/4/2016 3:27
"Hp, Inc"	Software Designer	Full Time	US	Public	4583.333333	0	55000	0		onsite gym	Prefer not to disclose	Yes	2	Female	Bachelors	Graduate	West state college	Computer Science		No	55000	Per year		3000	Number of Units	1000 every year for 3 years	"$55,000 "	"$4,583 "	"$55,000 "	12/4/2016 4:02
